Code,Country,State,Zip/Post Code,Rate,Zip/Post is Range,Range From,Range To,amazonebay,default,eu
UK VAT,GB,*,*,20,,,,,,
EEA  VAT,IE,*,*,20,,,,,,
EU VAT9,EE,*,*,20,,,,,,
VAT MT,MT,*,*,20,,,,,,
EU ZERORATED3,BE,*,*,0,,,,,,
EU ZERORATED6,CZ,*,*,0,,,,,,
EU VAT12,FR,*,*,20,,,,,,
EU ZERORATED19,LU,*,*,0,,,,,,
EU ZERORATED28,SI,*,*,0,,,,,,
EU ZERORATED11,FI,*,*,0,,,,,,
EU VAT11,FI,*,*,20,,,,,,
EU ZERORATED14,HU,*,*,0,,,,,,
EU ZERORATED27,SE,*,*,0,,,,,,
EU VAT14,HU,*,*,20,,,,,,
EU VAT13,GR,*,*,20,,,,,,
EU ZERORATED10,ES,*,*,0,,,,,,
EU ZERORATED26,RO,*,*,0,,,,,,
EU ZERORATED21,NL,*,*,0,,,,,,
EU VAT16,IT,*,*,20,,,,,,
EU ZERORATED5,CY,*,*,0,,,,,,
EU ZERORATED15,IE,*,*,0,,,,,,
ZERORATED LV,LV,*,*,0,,,,,,
EU VAT15,IE,*,*,20,,,,,,
ZERORATED GY,GG,*,GY*,0,,,,,,
EU VAT18,LT,*,*,20,,,,,,
VAT JE,JE,*,JE*,0,,,,,,
EU VAT23,PL,*,*,20,,,,,,
ZERORATED MT,MT,*,*,0,,,,,,
EU ZERORATED9,EE,*,*,0,,,,,,
EU VAT21,NL,*,*,20,,,,,,
ZERORATED JE,JE,*,JE*,0,,,,,,
EU VAT2,AT,*,*,20,,,,,,
VAT GY,GG,*,GY*,0,,,,,,
EU VAT19,LU,*,*,20,,,,,,
EU ZERORATED18,LT,*,*,0,,,,,,
EU VAT24,PT,*,*,20,,,,,,
EU VAT4,BG,*,*,20,,,,,,
EU ZERORATED2,AT,*,*,0,,,,,,
EU ZERORATED13,GR,*,*,0,,,,,,
EU ZERORATED4,BG,*,*,0,,,,,,
EU VAT3,BE,*,*,20,,,,,,
EU VAT27,SE,*,*,20,,,,,,
EU ZERORATED16,IT,*,*,0,,,,,,
EU VAT6,CZ,*,*,20,,,,,,
EU VAT5,CY,*,*,20,,,,,,
EU VAT26,RO,*,*,20,,,,,,
EU ZERORATED12,FR,*,*,0,,,,,,
EU VAT29,SK,*,*,20,,,,,,
EU VAT8,DK,*,*,20,,,,,,
EU VAT28,SI,*,*,20,,,,,,
EU ZERORATED8,DK,*,*,0,,,,,,
EU ZERORATED23,PL,*,*,0,,,,,,
EU VAT7,DE,*,*,20,,,,,,
VAT LV,LV,*,*,20,,,,,,
EU ZERORATED7,DE,*,*,0,,,,,,
EU VAT10,ES,*,*,20,,,,,,
EU VAT30,IM,*,*,20,,,,,,
EU ZERORATED30,IM,*,*,0,,,,,,
VAT UK Jersey,GB,*,JE,0,,,,,,
VAT UK Guernsey,GB,*,GY,0,,,,,,
EU Zerorated UK Jersey,GB,*,JE,0,,,,,,
EU Zerorated UK Guernsey,GB,*,GY,0,,,,,,
